respondent_id,persona,age_group,gender,city_tier,occupation,monthly_income,order_frequency,meal_type,cuisine_preference,dietary_preference,addon_preference,spend_per_order,max_delivery_fee,subscription_budget,payment_method,max_wait_time,importance_speed,importance_quality,importance_fee,importance_discounts,importance_tracking,switch_trigger,group_ordering,surge_attitude,current_apps,main_frustration,scheduled_delivery,data_comfort,switch_motivation,living_situation,cooking_frequency,order_triggers,festival_ordering,trust_concern,trust_builder,past_switching,churn_reason,food_attitude,discovery_channel,nps_score,complaint_behaviour,will_adopt_raw,will_adopt_binary,is_noisy
R0173,P3_Family_Weekend_Orderer,25-34,Female,Tier-2,Salaried (private),60k-1L,Multiple times/week,Dinner|Late night|Lunch,Fast food,Pure vegetarian,Salad|Raita/Chutney|Cold drink/Lassi,100-200,More than 80,50-99/month,UPI,30-45 min,3,5,4,4,3,Subscription plan,Yes occasionally,Acceptable if justified,Zomato|None|Swiggy,Wrong/cold food,Yes regularly,Not at all,Faster delivery|Friend referral,Nuclear family,Almost always,Watching match/movie,Durga Puja,No concerns|Payment fraud,Familiar restaurants,Switched and stayed,Not applicable,Brand loyal|Foodie explorer,Always same places,9,Do nothing,Likely will use,1,0
R0174,P1_Urban_Professional,25-34,Male,Metro,Salaried (private),60k-1L,Once a month,Lunch|Dinner,Desserts|Biryani,Eggetarian,Dessert|Cold drink/Lassi,400-700,Up to 50,200+/month,Credit card,20-30 min,5,4,2,2,3,Better discounts,No always individual,Would switch apps,Swiggy|Zomato,Late deliveries,Yes regularly,Comfortable,Local restaurants|Friend referral,With roommates,Almost always,Festival/celebration,No festival ordering|Christmas/New Year|Navratri,No refund|Data/privacy,Money-back guarantee,Use multiple apps,Not applicable,Health conscious,Instagram/YouTube,8,Contact support,Neutral/unsure,0,0
R0175,P3_Family_Weekend_Orderer,45-54,Male,Rural,Salaried (private),Below 15k,Multiple times/week,Lunch|Dinner,South Indian|North Indian|Pizza,Pure vegetarian,Cold drink/Lassi|Extra roti/naan,Above 1200,Up to 80,200+/month,Wallet,20-30 min,4,4,3,4,3,Subscription plan|Transparent fees,Yes occasionally,Acceptable if justified,Swiggy|Zomato,Wrong/cold food,Maybe,Comfortable,Friend referral|Social media,Nuclear family,Almost always,Raining/bad weather|Watching match/movie,Christmas/New Year|Holi|Diwali,Data/privacy,Money-back guarantee,Never used,Bad deliveries,Foodie explorer|Comfort food lover,Friends/WhatsApp,10,Do nothing,Neutral/unsure,0,1
R0176,P1_Urban_Professional,35-44,Female,Metro,Salaried (private),30k-60k,Daily,Dinner|Late night,Chinese/Indo-Chinese|Pizza,Pure vegetarian,Raita/Chutney|Salad,400-700,Up to 80,200+/month,UPI,20-30 min,5,5,4,2,4,Better discounts|Scheduled delivery,Rarely,Acceptable if justified,Swiggy|Zomato|None,App crashes,Maybe,Neutral,Heavy discounts,Alone (PG/hostel),Sometimes 3-4/week,Raining/bad weather|Too tired,Christmas/New Year|Holi,Platform shutting|Data/privacy,Money-back guarantee,Never switched,Bad deliveries,Comfort food lover|Foodie explorer,App recommendation,7,Request refund,Definitely will use,1,0
R0177,P3_Family_Weekend_Orderer,35-44,Prefer not to say,Tier-2,Homemaker,Above 1L,Once a month,Dinner|Lunch,North Indian|South Indian|Biryani,Pure vegetarian,Papad,Under 100,Up to 30,Not interested,UPI,30-45 min,4,4,3,3,3,Transparent fees|Better discounts,Rarely,Would switch apps,Zomato|Swiggy,Hidden charges,Yes regularly,Very comfortable,Faster delivery,Joint family,Sometimes 3-4/week,Festival/celebration|Weekend mood,Diwali|Durga Puja|Holi,No concerns|Unreliable delivery,Friend recommendation,Use multiple apps,Better discounts elsewhere,Comfort food lover,Friends/WhatsApp,10,Request refund,Neutral/unsure,0,0
R0178,P2_Price_Sensitive_Student,18-24,Male,Tier-2,Self-employed,15k-30k,Once a week,Dinner|Evening snacks,South Indian|Fast food,Non-vegetarian,Dessert,100-200,Up to 50,50-99/month,Credit card,20-30 min,5,3,4,5,4,Subscription plan|Faster delivery,Yes occasionally,Acceptable if justified,Zomato|Dunzo|None,App crashes,Maybe,Comfortable,Local restaurants|Social media,Alone (PG/hostel),Sometimes 3-4/week,Watching match/movie|Too tired|Raining/bad weather,Holi|Diwali,Food quality|Unreliable delivery,Big discount,Never switched,Price increased,Trend follower,Search by cuisine,4,Request refund,Likely will use,1,0
R0179,P5_Health_Conscious,18-24,Female,Metro,Self-employed,Above 1L,Multiple times/week,Dinner|Late night|Lunch,Beverages/Chai|Fast food|Healthy/Salads,Non-vegetarian,Cold drink/Lassi|Salad,Under 100,More than 80,200+/month,Debit card,30-45 min,4,5,4,2,3,Scheduled delivery,Yes occasionally,Would wait,Zomato|Swiggy|Dunzo,Wrong/cold food,Yes occasionally,Very comfortable,Faster delivery,With parents,Rarely 1-2/week,Raining/bad weather|Too tired|Weekend mood,Durga Puja|Onam|Christmas/New Year,Platform shutting|No concerns,Friend recommendation,Use multiple apps,Restaurant left,Brand loyal|Health conscious,Friends/WhatsApp,9,Contact support,Definitely will use,1,0
R0180,P1_Urban_Professional,25-34,Prefer not to say,Metro,Salaried (private),60k-1L,2-3 times/month,Lunch|Late night|Dinner,Beverages/Chai|Chinese/Indo-Chinese|Fast food,No preference,Salad|Cold drink/Lassi|Dessert,400-700,Up to 50,100-199/month,UPI,Under 20 min,5,3,2,2,4,Faster delivery,Rarely,Would switch apps,Swiggy|Dunzo,Wrong/cold food,Maybe,Very comfortable,Faster delivery|Heavy discounts,Alone (PG/hostel),Rarely 1-2/week,Too tired|Working late,Diwali|No festival ordering,Unreliable delivery,Friend recommendation,Never switched,Price increased,Foodie explorer|Trend follower,Instagram/YouTube,6,Request refund,Neutral/unsure,0,0
R0181,P2_Price_Sensitive_Student,25-34,Male,Tier-2,Student,30k-60k,Multiple times/week,Late night,Chinese/Indo-Chinese,Non-vegetarian,No sides|Cold drink/Lassi|Raita/Chutney,Above 1200,0 (free only),Up to 49/month,UPI,Under 20 min,3,3,4,5,3,Subscription plan,Yes regularly,Acceptable with notice,Zomato|Swiggy,High delivery fee,Maybe,Neutral,Heavy discounts|Social media,Alone (PG/hostel),Rarely 1-2/week,Weekend mood|Festival/celebration,Christmas/New Year|Holi,Platform shutting,Familiar restaurants,Switched back,Friend recommendation,Foodie explorer|Food as fuel,Browsing ratings,10,Post social media,Likely will use,1,0
R0182,P1_Urban_Professional,25-34,Male,Metro,Salaried (private),30k-60k,Multiple times/week,Breakfast|Late night,South Indian,Eggetarian,Extra roti/naan|Papad,200-400,Up to 15,100-199/month,UPI,20-30 min,5,4,2,3,5,Subscription plan,Rarely,Acceptable with notice,Swiggy|Zomato|Dunzo,Wrong/cold food,Yes occasionally,Comfortable,Friend referral,With roommates,Sometimes 3-4/week,Watching match/movie,Diwali|Holi,No refund,Familiar restaurants,Never switched,Bad deliveries,Foodie explorer,App recommendation,9,Leave bad review,Likely will use,1,0
R0183,P5_Health_Conscious,18-24,Female,Tier-3,Salaried (private),30k-60k,Multiple times/week,Evening snacks|Dinner|Lunch,Biryani|Desserts,No preference,Salad|Cold drink/Lassi,700-1200,Up to 50,50-99/month,UPI,Under 20 min,5,5,2,2,5,Better discounts,Rarely,Would switch apps,Zomato|Swiggy,No restaurants nearby,Yes regularly,Very comfortable,Friend referral,Nuclear family,Almost always,Craving specific dish,Diwali|No festival ordering|No specific pattern,Unreliable delivery|Data/privacy,Familiar restaurants,Switched and stayed,Better discounts elsewhere,Food as fuel|Foodie explorer,Instagram/YouTube,5,Request refund,Unlikely to use,0,0
R0184,P5_Health_Conscious,25-34,Female,Metro,Salaried (private),60k-1L,Multiple times/week,Lunch|Evening snacks,Biryani,Pure vegetarian,No sides|Raita/Chutney|Salad,700-1200,Up to 80,100-199/month,BNPL,30-45 min,3,5,4,2,4,More restaurants,Yes regularly,Acceptable with notice,Swiggy,Wrong/cold food,Yes occasionally,Comfortable,Local restaurants|Friend referral,With roommates,Sometimes 3-4/week,Working late|Too tired|Watching match/movie,Durga Puja,Payment fraud,App store reviews,Switched and stayed,Not applicable,Trend follower,Instagram/YouTube,8,Leave bad review,Unlikely to use,0,0
R0185,P1_Urban_Professional,35-44,Male,Metro,Self-employed,Above 1L,Daily,Lunch|Late night,North Indian|South Indian|Biryani,Pure vegetarian,Salad|Cold drink/Lassi|Extra roti/naan,Above 1200,Up to 30,100-199/month,Cash on delivery,20-30 min,5,4,2,3,3,Transparent fees|More restaurants,No always individual,Acceptable if justified,Swiggy|Zomato|Direct restaurant,No restaurants nearby,Yes occasionally,Uncomfortable,Friend referral|Faster delivery,Alone (PG/hostel),Sometimes 3-4/week,Watching match/movie|Weekend mood|Too tired,Navratri|Diwali,No refund,News/media,Use multiple apps,Better discounts elsewhere,Trend follower|Health conscious,Browsing ratings,6,Contact support,Likely will use,1,0
R0186,P3_Family_Weekend_Orderer,35-44,Female,Metro,Salaried (govt),60k-1L,Once a week,Dinner|Lunch,Street food,Pure vegetarian,Cold drink/Lassi,700-1200,Up to 50,Not interested,Debit card,30-45 min,4,5,3,4,3,Better discounts|More restaurants,Yes regularly,Acceptable with notice,ONDC,App crashes,Probably not,Uncomfortable,Local restaurants,With parents,Never,Weekend mood|Raining/bad weather,No festival ordering|Diwali|Holi,No concerns,Friend recommendation,Never switched,Better discounts elsewhere,Brand loyal|Trend follower,Friends/WhatsApp,8,Leave bad review,Likely will use,1,0
R0187,P4_Tier2_Explorer,45-54,Male,Tier-3,Salaried (govt),Below 15k,Once a week,Dinner|Breakfast,Chinese/Indo-Chinese|Biryani|North Indian,Eggetarian,Cold drink/Lassi|Dessert|Extra roti/naan,200-400,Up to 15,Up to 49/month,UPI,30-45 min,4,5,4,5,3,Subscription plan,Yes occasionally,Acceptable with notice,Swiggy|Direct restaurant|None,No restaurants nearby,Yes occasionally,Comfortable,Heavy discounts,Nuclear family,Almost always,Too tired|Working late,Christmas/New Year|No festival ordering,Food quality,Big discount,Never switched,Restaurant left,Food as fuel,Instagram/YouTube,5,Request refund,Will not use,0,0
R0188,P3_Family_Weekend_Orderer,35-44,Female,Metro,Self-employed,60k-1L,Multiple times/week,Late night,Desserts|North Indian,No preference,Salad|Cold drink/Lassi|Extra roti/naan,400-700,Up to 80,50-99/month,Credit card,30-45 min,4,5,3,4,3,More restaurants|Scheduled delivery,No always individual,Would switch apps,Dunzo|Swiggy,No restaurants nearby,Maybe,Uncomfortable,Local restaurants|Faster delivery,Joint family,Sometimes 3-4/week,Watching match/movie|Too tired,Christmas/New Year|Eid|Holi,Data/privacy|No refund,Friend recommendation,Use multiple apps,Bad deliveries,Food as fuel|Foodie explorer,Friends/WhatsApp,7,Request refund,Neutral/unsure,0,0
R0189,P3_Family_Weekend_Orderer,45-54,Male,Tier-3,Self-employed,30k-60k,2-3 times/month,Lunch,Biryani|South Indian|Chinese/Indo-Chinese,Pure vegetarian,Dessert|Cold drink/Lassi,400-700,Up to 30,100-199/month,UPI,30-45 min,3,4,3,3,4,Transparent fees,Yes occasionally,Acceptable if justified,Zomato|ONDC,Late deliveries,Yes regularly,Very comfortable,Faster delivery|Local restaurants,Joint family,Sometimes 3-4/week,Guests at home|Festival/celebration|Watching match/movie,Durga Puja|Christmas/New Year|Diwali,Platform shutting,Familiar restaurants,Use multiple apps,Friend recommendation,Foodie explorer,Friends/WhatsApp,1,Post social media,Likely will use,1,0
R0190,P1_Urban_Professional,35-44,Female,Tier-3,Salaried (private),60k-1L,Multiple times/week,Dinner|Lunch,Pizza|Chinese/Indo-Chinese|Beverages/Chai,Non-vegetarian,Raita/Chutney,200-400,Up to 50,50-99/month,UPI,20-30 min,5,5,3,4,3,Better support|Faster delivery,Rarely,Would switch apps,Swiggy,Hidden charges,Yes occasionally,Uncomfortable,Heavy discounts,Joint family,Rarely 1-2/week,Working late|Weekend mood,Christmas/New Year,No concerns|Data/privacy,Big discount,Use multiple apps,Better discounts elsewhere,Comfort food lover|Trend follower,Friends/WhatsApp,9,Request refund,Neutral/unsure,0,0
R0191,P1_Urban_Professional,25-34,Male,Tier-2,Self-employed,Above 1L,Daily,Dinner|Lunch|Evening snacks,South Indian|Biryani|Healthy/Salads,Pure vegetarian,Cold drink/Lassi|Salad|Dessert,700-1200,Up to 50,200+/month,UPI,20-30 min,5,3,3,2,3,Scheduled delivery|Transparent fees,Yes occasionally,Acceptable if justified,ONDC|Zomato|Dunzo,Late deliveries,Probably not,Neutral,Heavy discounts|Friend referral,Alone (PG/hostel),Almost always,Watching match/movie,Christmas/New Year|No specific pattern|Diwali,Food quality,Money-back guarantee,Use multiple apps,Better discounts elsewhere,Food as fuel,Search by cuisine,6,Leave bad review,Likely will use,1,0
R0192,P5_Health_Conscious,25-34,Female,Tier-2,Freelancer,60k-1L,Multiple times/week,Dinner|Late night|Lunch,Beverages/Chai,Eggetarian,No sides|Salad,200-400,Up to 50,100-199/month,Credit card,20-30 min,3,5,2,3,5,More restaurants|Better support,Yes occasionally,Acceptable if justified,Zomato|Swiggy,No restaurants nearby,Yes occasionally,Neutral,Faster delivery|Heavy discounts,Nuclear family,Sometimes 3-4/week,Craving specific dish|Festival/celebration|Working late,Diwali|Holi|No festival ordering,Unreliable delivery,Money-back guarantee,Never switched,Friend recommendation,Trend follower,Search by cuisine,6,Contact support,Definitely will use,1,0
R0193,P5_Health_Conscious,25-34,Male,Metro,Student,Above 1L,Multiple times/week,Late night,Pizza,Non-vegetarian,Extra roti/naan,200-400,Up to 30,100-199/month,BNPL,20-30 min,4,5,2,3,5,More restaurants|Faster delivery,Rarely,Acceptable with notice,Zomato,Wrong/cold food,Yes occasionally,Very comfortable,Friend referral|Nothing - loyal,Nuclear family,Sometimes 3-4/week,Too tired|Working late,Navratri,Payment fraud|Data/privacy,Money-back guarantee,Switched and stayed,Not applicable,Foodie explorer|Health conscious,App recommendation,4,Post social media,Neutral/unsure,0,0
R0194,P3_Family_Weekend_Orderer,35-44,Female,Tier-2,Freelancer,15k-30k,2-3 times/month,Dinner|Lunch,North Indian|Fast food|Chinese/Indo-Chinese,Pure vegetarian,Cold drink/Lassi|Dessert,Under 100,Up to 30,100-199/month,UPI,30-45 min,4,5,3,3,4,Scheduled delivery|More restaurants,Rarely,Would switch apps,Swiggy|Zomato,Wrong/cold food,Yes occasionally,Comfortable,Faster delivery|Local restaurants,Nuclear family,Almost always,Raining/bad weather|Working late|Weekend mood,Holi,No refund,Friend recommendation,Never switched,Restaurant left,Foodie explorer|Comfort food lover,Friends/WhatsApp,7,Request refund,Likely will use,1,0
R0195,P2_Price_Sensitive_Student,25-34,Male,Tier-2,Student,15k-30k,Once a week,Breakfast|Late night,Chinese/Indo-Chinese,Non-vegetarian,Extra roti/naan|Cold drink/Lassi,200-400,Up to 15,50-99/month,UPI,20-30 min,5,4,5,4,4,Subscription plan|Better discounts,Yes occasionally,Acceptable if justified,Swiggy|Zomato,High delivery fee,Probably not,Neutral,Heavy discounts|Local restaurants,Alone (PG/hostel),Almost always,Too tired|Watching match/movie,No festival ordering|Diwali|No specific pattern,No concerns,Friend recommendation,Never used,App bugs,Foodie explorer|Food as fuel,Friends/WhatsApp,6,Contact support,Likely will use,1,0
R0196,P2_Price_Sensitive_Student,18-24,Female,Tier-2,Student,15k-30k,2-3 times/month,Dinner|Evening snacks,Biryani,Non-vegetarian,No sides,200-400,Up to 15,50-99/month,Cash on delivery,20-30 min,4,4,4,4,2,More restaurants,Yes occasionally,Would switch apps,Direct restaurant|Zomato,Late deliveries,No,Very comfortable,Friend referral|Loyalty rewards,With roommates,Rarely 1-2/week,Watching match/movie,No specific pattern|Holi,Food quality,Big discount,Never used,Price increased,Brand loyal,Instagram/YouTube,8,Request refund,Definitely will use,1,0
R0197,P4_Tier2_Explorer,25-34,Female,Rural,Student,15k-30k,2-3 times/month,Dinner,Biryani|South Indian,Non-vegetarian,Extra roti/naan|Cold drink/Lassi|Dessert,400-700,Up to 15,Up to 49/month,Cash on delivery,20-30 min,4,3,5,3,4,Faster delivery,No always individual,Would wait,None,No restaurants nearby,Maybe,Comfortable,Friend referral|Heavy discounts,Nuclear family,Rarely 1-2/week,Watching match/movie|Working late|Festival/celebration,Navratri|Diwali,Food quality,App store reviews,Switched and stayed,Restaurant left,Brand loyal|Foodie explorer,Friends/WhatsApp,5,Request refund,Definitely will use,1,0
R0198,P5_Health_Conscious,45-54,Male,Tier-2,Salaried (private),60k-1L,2-3 times/month,Breakfast,South Indian,Pure vegetarian,Cold drink/Lassi|Papad|Salad,200-400,Up to 30,50-99/month,UPI,30-45 min,5,5,2,2,3,Subscription plan,Rarely,Acceptable with notice,Zomato|Swiggy|Direct restaurant,High delivery fee,Yes occasionally,Comfortable,Friend referral|Loyalty rewards,With roommates,Almost always,Festival/celebration,Navratri,Platform shutting|No refund,Friend recommendation,Switched and stayed,Restaurant left,Health conscious,App recommendation,5,Post social media,Unlikely to use,0,0
R0199,P5_Health_Conscious,25-34,Female,Metro,Salaried (private),Above 1L,2-3 times/month,Dinner|Evening snacks,Desserts,Pure vegetarian,Salad|Cold drink/Lassi|Papad,100-200,Up to 50,100-199/month,UPI,20-30 min,4,5,4,2,4,Better support,Yes occasionally,Acceptable with notice,Swiggy,Late deliveries,Probably not,Very comfortable,Friend referral|Faster delivery,With parents,Rarely 1-2/week,Weekend mood|Raining/bad weather,Christmas/New Year|No specific pattern,Food quality,Familiar restaurants,Switched back,Bad deliveries,Comfort food lover|Health conscious,Search by cuisine,3,Post social media,Likely will use,1,0
R0200,P4_Tier2_Explorer,45-54,Female,Tier-2,Salaried (govt),30k-60k,2-3 times/month,Lunch|Dinner|Evening snacks,North Indian|Beverages/Chai|Biryani,Non-vegetarian,Extra roti/naan,100-200,Up to 15,Not interested,UPI,20-30 min,3,5,4,3,4,Transparent fees|Better discounts,No always individual,Would wait,Zomato|None,Poor support,Probably not,Uncomfortable,Heavy discounts,Nuclear family,Every meal,Guests at home|Working late|Craving specific dish,Eid|No specific pattern|Navratri,Unreliable delivery,Friend recommendation,Never used,App bugs,Trend follower|Comfort food lover,Instagram/YouTube,6,Post social media,Neutral/unsure,0,0
R0201,P3_Family_Weekend_Orderer,35-44,Female,Metro,Salaried (private),Above 1L,Never,Lunch|Breakfast|Dinner,Pizza|Street food|South Indian,Pure vegetarian,Dessert|Extra roti/naan,Under 100,Up to 50,100-199/month,Debit card,Over 60 min,4,4,3,3,3,Better discounts|Transparent fees,Yes occasionally,Acceptable if justified,Zomato|Swiggy,Hidden charges,Maybe,Comfortable,Loyalty rewards|Heavy discounts,Joint family,Every meal,Too tired,Diwali,Food quality|Payment fraud,Money-back guarantee,Use multiple apps,Restaurant left,Comfort food lover,App recommendation,9,Request refund,Likely will use,1,0
R0202,P1_Urban_Professional,25-34,Female,Metro,Salaried (private),30k-60k,Multiple times/week,Evening snacks|Dinner|Late night,Fast food,Non-vegetarian,No sides|Salad|Extra roti/naan,200-400,Up to 15,200+/month,Wallet,20-30 min,4,5,4,4,5,Subscription plan|Better discounts,Yes occasionally,Acceptable with notice,Zomato,Poor support,Yes occasionally,Uncomfortable,Heavy discounts,With roommates,Sometimes 3-4/week,Weekend mood|Festival/celebration|Raining/bad weather,Durga Puja|Diwali,Unreliable delivery|Payment fraud,Money-back guarantee,Never used,Restaurant left,Comfort food lover,App recommendation,9,Request refund,Likely will use,1,0
R0203,P1_Urban_Professional,35-44,Female,Metro,Salaried (private),60k-1L,Multiple times/week,Dinner|Late night|Lunch,Fast food,Vegan,Raita/Chutney|Dessert|Cold drink/Lassi,200-400,Up to 50,Not interested,Credit card,30-45 min,4,4,3,2,3,Better discounts,Yes occasionally,Acceptable with notice,ONDC|Swiggy,Hidden charges,Maybe,Very comfortable,Faster delivery|Friend referral,Alone (PG/hostel),Sometimes 3-4/week,Weekend mood,Eid|No specific pattern,Food quality|Data/privacy,Money-back guarantee,Switched and stayed,Better discounts elsewhere,Brand loyal|Food as fuel,Search by cuisine,8,Leave bad review,Will not use,0,0
R0204,P5_Health_Conscious,25-34,Female,Tier-2,Salaried (private),60k-1L,2-3 times/month,Breakfast,Healthy/Salads,Jain,Salad|Papad|Raita/Chutney,400-700,Up to 15,200+/month,Credit card,45-60 min,5,5,4,2,4,Better discounts,Rarely,Strongly dislike,Zomato,High delivery fee,Yes occasionally,Not at all,Friend referral|Loyalty rewards,Nuclear family,Never,Watching match/movie,Christmas/New Year,No concerns,Money-back guarantee,Never switched,Price increased,Food as fuel|Health conscious,Friends/WhatsApp,10,Leave bad review,Will not use,0,0
R0205,P3_Family_Weekend_Orderer,35-44,Female,Tier-3,Homemaker,60k-1L,2-3 times/month,Late night|Evening snacks|Dinner,Fast food|Biryani|North Indian,Pure vegetarian,Dessert,400-700,Up to 30,100-199/month,Credit card,Under 20 min,4,5,4,4,3,Better discounts|More restaurants,Yes occasionally,Acceptable if justified,Zomato,Wrong/cold food,Yes occasionally,Comfortable,Loyalty rewards|Faster delivery,Nuclear family,Rarely 1-2/week,Watching match/movie,Holi|No festival ordering|Diwali,Payment fraud,Friend recommendation,Never switched,Not applicable,Food as fuel,Friends/WhatsApp,8,Request refund,Neutral/unsure,0,0
R0206,P1_Urban_Professional,35-44,Male,Metro,Salaried (private),Above 1L,Multiple times/week,Lunch,North Indian|Biryani,Non-vegetarian,Raita/Chutney|Cold drink/Lassi|Dessert,700-1200,Up to 80,50-99/month,BNPL,Under 20 min,5,4,4,4,5,Transparent fees|Subscription plan,Yes occasionally,Would wait,Dunzo|Swiggy|None,Late deliveries,Yes occasionally,Comfortable,Heavy discounts,With roommates,Rarely 1-2/week,Guests at home,Diwali,No concerns,Money-back guarantee,Never switched,App bugs,Food as fuel|Health conscious,App recommendation,9,Do nothing,Likely will use,1,0
R0207,P1_Urban_Professional,35-44,Female,Metro,Salaried (private),60k-1L,2-3 times/month,Late night|Dinner|Lunch,Chinese/Indo-Chinese|Desserts|Biryani,Pure vegetarian,Dessert|Salad|Raita/Chutney,400-700,Up to 15,100-199/month,UPI,20-30 min,4,4,4,4,3,Scheduled delivery,Yes regularly,Acceptable with notice,Swiggy,Late deliveries,Yes regularly,Very comfortable,Faster delivery,With parents,Never,Too tired|Weekend mood|Guests at home,Diwali,Platform shutting,Money-back guarantee,Switched and stayed,Bad deliveries,Brand loyal,Instagram/YouTube,7,Request refund,Unlikely to use,0,0
R0208,P3_Family_Weekend_Orderer,25-34,Female,Metro,Salaried (private),Above 1L,Once a week,Dinner|Lunch,Fast food|South Indian|North Indian,Pure vegetarian,Dessert,Under 100,Up to 50,200+/month,UPI,Over 60 min,4,5,4,3,4,More restaurants,Rarely,Acceptable if justified,None|Swiggy,Late deliveries,Maybe,Comfortable,Social media|Friend referral,Alone (PG/hostel),Sometimes 3-4/week,Weekend mood|Festival/celebration,No specific pattern|Christmas/New Year|Durga Puja,Payment fraud,Money-back guarantee,Never switched,Bad deliveries,Food as fuel|Comfort food lover,App recommendation,3,Do nothing,Neutral/unsure,0,1
R0209,P1_Urban_Professional,35-44,Female,Metro,Salaried (private),60k-1L,2-3 times/month,Lunch|Dinner|Evening snacks,North Indian,Non-vegetarian,Cold drink/Lassi|Raita/Chutney,Above 1200,Up to 50,Not interested,UPI,30-45 min,4,4,3,4,4,Faster delivery,Rarely,Would switch apps,Zomato|Swiggy,Late deliveries,Maybe,Comfortable,Social media,Alone (PG/hostel),Sometimes 3-4/week,Watching match/movie|Weekend mood|Festival/celebration,Onam|Holi|No specific pattern,Data/privacy,Big discount,Use multiple apps,Price increased,Trend follower,Instagram/YouTube,3,Post social media,Likely will use,1,0
R0210,P1_Urban_Professional,25-34,Male,Metro,Student,60k-1L,Once a week,Lunch|Dinner,North Indian,Non-vegetarian,Cold drink/Lassi,Above 1200,Up to 50,200+/month,UPI,20-30 min,4,3,2,2,3,Better support,No always individual,Would wait,Swiggy|Zomato|None,App crashes,Yes occasionally,Comfortable,Loyalty rewards|Friend referral,Alone (PG/hostel),Rarely 1-2/week,Too tired,Durga Puja|Eid,Data/privacy,News/media,Never switched,Price increased,Foodie explorer|Brand loyal,Instagram/YouTube,8,Contact support,Neutral/unsure,0,0
R0211,P3_Family_Weekend_Orderer,25-34,Female,Metro,Salaried (private),Above 1L,Once a week,Dinner,Chinese/Indo-Chinese,Non-vegetarian,Cold drink/Lassi,200-400,Up to 50,100-199/month,UPI,45-60 min,4,5,3,4,3,Faster delivery,Yes occasionally,Acceptable with notice,Zomato|Swiggy,High delivery fee,Yes occasionally,Very comfortable,Nothing - loyal,Nuclear family,Sometimes 3-4/week,Watching match/movie|Guests at home,Navratri|Eid,Payment fraud|No refund,Friend recommendation,Never switched,Friend recommendation,Trend follower|Food as fuel,Always same places,7,Request refund,Likely will use,1,0
R0212,P3_Family_Weekend_Orderer,35-44,Male,Metro,Self-employed,Above 1L,Once a week,Lunch|Dinner,Healthy/Salads|Desserts|Chinese/Indo-Chinese,Non-vegetarian,Dessert|Papad|Raita/Chutney,700-1200,Up to 50,Not interested,Debit card,45-60 min,3,5,3,4,3,Subscription plan,Yes occasionally,Acceptable if justified,Zomato|Swiggy,Late deliveries,Yes regularly,Comfortable,Faster delivery|Social media,Joint family,Rarely 1-2/week,Festival/celebration|Guests at home|Raining/bad weather,Durga Puja|Onam,Data/privacy,Familiar restaurants,Use multiple apps,Restaurant left,Comfort food lover,Always same places,5,Contact support,Unlikely to use,0,0
R0213,P3_Family_Weekend_Orderer,35-44,,Tier-2,Salaried (private),,Once a week,Lunch|Evening snacks|Dinner,Biryani|South Indian|North Indian,Pure vegetarian,Papad,700-1200,Up to 50,100-199/month,UPI,Under 20 min,3,4,4,3,3,Transparent fees|More restaurants,Yes occasionally,Acceptable if justified,Direct restaurant,Poor support,Yes regularly,Comfortable,Friend referral|Loyalty rewards,With roommates,Sometimes 3-4/week,Weekend mood|Festival/celebration|Raining/bad weather,Diwali|Navratri|Eid,No refund|No concerns,Familiar restaurants,Switched and stayed,,Brand loyal,Always same places,7,Leave bad review,Unlikely to use,0,1
R0214,P1_Urban_Professional,25-34,Female,Metro,Salaried (private),15k-30k,Multiple times/week,Dinner,Healthy/Salads|Fast food|Pizza,No preference,Cold drink/Lassi|Papad,200-400,Up to 30,200+/month,UPI,30-45 min,4,5,2,3,4,Transparent fees,Yes occasionally,Acceptable if justified,Zomato,Hidden charges,Yes regularly,Comfortable,Faster delivery,Alone (PG/hostel),Never,Craving specific dish|Weekend mood|Watching match/movie,Onam|Holi,Unreliable delivery|Payment fraud,Big discount,Switched and stayed,Bad deliveries,Health conscious|Foodie explorer,Browsing ratings,10,Request refund,Likely will use,1,0
R0215,P4_Tier2_Explorer,35-44,Male,Tier-2,Student,15k-30k,Once a week,Breakfast|Lunch,South Indian,Non-vegetarian,Dessert|Raita/Chutney|Cold drink/Lassi,700-1200,More than 80,Not interested,UPI,45-60 min,3,5,4,5,2,Better discounts,No always individual,Would wait,Zomato|Swiggy,App crashes,Probably not,Neutral,Social media,Nuclear family,Every meal,Festival/celebration,Diwali|Durga Puja,Food quality|Data/privacy,Money-back guarantee,Switched and stayed,Better discounts elsewhere,Food as fuel|Comfort food lover,App recommendation,7,Request refund,Will not use,0,0
R0216,P1_Urban_Professional,35-44,Female,Metro,Salaried (private),60k-1L,Daily,Dinner,South Indian,No preference,Cold drink/Lassi,100-200,Up to 15,50-99/month,UPI,20-30 min,5,5,4,3,4,Faster delivery,Yes regularly,Acceptable with notice,ONDC|Zomato|Swiggy,Hidden charges,No,Comfortable,Faster delivery,With roommates,Almost always,Too tired,No festival ordering,Unreliable delivery,Big discount,Use multiple apps,Better discounts elsewhere,Foodie explorer|Brand loyal,App recommendation,8,Request refund,Definitely will use,1,0
